algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,amostra,tempoMs,score
Bubble Sort,Serial,1,10000,ALEATORIA,1,94.9915,105.27257702004916
Bubble Sort,Serial,1,10000,ALEATORIA,2,84.8811,117.81185682089416
Bubble Sort,Serial,1,10000,ALEATORIA,3,74.9671,133.391847890608
Bubble Sort,Serial,1,10000,ALEATORIA,4,73.5081,136.03942966829507
Bubble Sort,Serial,1,10000,ALEATORIA,5,73.5877,135.89227547538516
Insertion Sort,Serial,1,10000,ALEATORIA,1,16.8444,593.6691125834105
Insertion Sort,Serial,1,10000,ALEATORIA,2,16.2884,613.9338424891334
Insertion Sort,Serial,1,10000,ALEATORIA,3,13.7739,726.0107885203174
Insertion Sort,Serial,1,10000,ALEATORIA,4,3.47,2881.844380403458
Insertion Sort,Serial,1,10000,ALEATORIA,5,3.4911,2864.4266849989976
Quick Sort,Serial,1,10000,ALEATORIA,1,1.3306,7515.4065834961675
Quick Sort,Serial,1,10000,ALEATORIA,2,1.0177,9826.078412105728
Quick Sort,Serial,1,10000,ALEATORIA,3,0.8486,11784.115012962526
Quick Sort,Serial,1,10000,ALEATORIA,4,0.6469,15458.339774308239
Quick Sort,Serial,1,10000,ALEATORIA,5,0.463,21598.272138228942
Merge Sort,Serial,1,10000,ALEATORIA,1,1.4606,6846.501437765302
Merge Sort,Serial,1,10000,ALEATORIA,2,1.4127,7078.643731860975
Merge Sort,Serial,1,10000,ALEATORIA,3,1.0617,9418.85655081473
Merge Sort,Serial,1,10000,ALEATORIA,4,1.4286,6999.860002799944
Merge Sort,Serial,1,10000,ALEATORIA,5,1.4818,6748.54906195168
