algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,mediaMs,menorMs,maiorMs,speedup,eficiencia,todosOrdenadosCorretamente
Bubble Sort,Serial,1,1000,ALEATORIA,1.7310400000000001,0.793,3.0711,1.0,1.0,true
Insertion Sort,Serial,1,1000,ALEATORIA,0.57546,0.4054,1.1372,1.0,1.0,true
Quick Sort,Serial,1,1000,ALEATORIA,0.14823999999999998,0.0733,0.3573,1.0,1.0,true
Merge Sort,Serial,1,1000,ALEATORIA,0.13488,0.0857,0.3116,1.0,1.0,true
Bubble Sort,Paralelo,1,1000,ALEATORIA,0.78326,0.7344,0.8072,2.2100451957204506,2.2100451957204506,true
Bubble Sort,Paralelo,2,1000,ALEATORIA,1.4914,0.5578,5.1335,1.1606812391041974,0.5803406195520987,true
Bubble Sort,Paralelo,4,1000,ALEATORIA,0.6679,0.6193,0.7257,2.5917652343165143,0.6479413085791286,true
Bubble Sort,Paralelo,8,1000,ALEATORIA,1.60672,0.7319,3.9479,1.0773750248954392,0.1346718781119299,true
Insertion Sort,Paralelo,1,1000,ALEATORIA,1.0158800000000001,0.171,3.3299,0.5664645430562664,0.5664645430562664,true
Insertion Sort,Paralelo,2,1000,ALEATORIA,0.47158,0.2603,1.1815,1.2202807583018787,0.6101403791509393,true
Insertion Sort,Paralelo,4,1000,ALEATORIA,0.6108,0.4181,0.8332,0.9421414538310412,0.2355353634577603,true
Insertion Sort,Paralelo,8,1000,ALEATORIA,0.7892,0.6997,0.8389,0.7291687785098834,0.09114609731373542,true
Quick Sort,Paralelo,1,1000,ALEATORIA,0.48764,0.2501,1.3005,0.3039947502255762,0.3039947502255762,true
Quick Sort,Paralelo,2,1000,ALEATORIA,0.24494,0.1815,0.3721,0.605209439046297,0.3026047195231485,true
Quick Sort,Paralelo,4,1000,ALEATORIA,0.29106,0.2135,0.4654,0.5093107950250807,0.12732769875627017,true
Quick Sort,Paralelo,8,1000,ALEATORIA,0.24478,0.1817,0.3582,0.6056050330909387,0.07570062913636734,true
Merge Sort,Paralelo,1,1000,ALEATORIA,0.48804,0.3842,0.7682,0.27637078927956726,0.27637078927956726,true
Merge Sort,Paralelo,2,1000,ALEATORIA,0.32924000000000003,0.2354,0.5749,0.4096707568946665,0.20483537844733324,true
Merge Sort,Paralelo,4,1000,ALEATORIA,0.7034600000000001,0.5823,0.8505,0.19173798083757426,0.047934495209393566,true
Merge Sort,Paralelo,8,1000,ALEATORIA,0.62078,0.5381,0.6972,0.2172750410773543,0.027159380134669286,true
Bubble Sort,Serial,1,5000,ALEATORIA,11.498,10.943,12.3004,1.0,1.0,true
Insertion Sort,Serial,1,5000,ALEATORIA,1.04334,1.0017,1.0878,1.0,1.0,true
Quick Sort,Serial,1,5000,ALEATORIA,0.255,0.2386,0.2883,1.0,1.0,true
Merge Sort,Serial,1,5000,ALEATORIA,1.98868,1.8351,2.1703,1.0,1.0,true
Bubble Sort,Paralelo,1,5000,ALEATORIA,12.04344,11.1669,12.6714,0.9547106142431065,0.9547106142431065,true
Bubble Sort,Paralelo,2,5000,ALEATORIA,3.37322,3.0278,3.7399,3.4086125423186155,1.7043062711593078,true
Bubble Sort,Paralelo,4,5000,ALEATORIA,1.68742,1.4506,1.9004,6.813952661459506,1.7034881653648766,true
Bubble Sort,Paralelo,8,5000,ALEATORIA,1.6025200000000002,1.4651,1.8247,7.174949454608989,0.8968686818261237,true
Insertion Sort,Paralelo,1,5000,ALEATORIA,0.96738,0.8894,1.1101,1.0785213669912546,1.0785213669912546,true
Insertion Sort,Paralelo,2,5000,ALEATORIA,0.87102,0.5922,1.3841,1.1978370186677687,0.5989185093338844,true
Insertion Sort,Paralelo,4,5000,ALEATORIA,0.9117799999999999,0.4607,2.0863,1.1442891925683827,0.28607229814209567,true
Insertion Sort,Paralelo,8,5000,ALEATORIA,1.07838,0.78,1.4799,0.9675068157792244,0.12093835197240305,true
Quick Sort,Paralelo,1,5000,ALEATORIA,0.5425599999999999,0.4768,0.726,0.4699941020347981,0.4699941020347981,true
Quick Sort,Paralelo,2,5000,ALEATORIA,0.5404399999999999,0.4536,0.7407,0.4718377618236993,0.23591888091184965,true
