algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,mediaMs,menorMs,maiorMs,speedup,eficiencia,todosOrdenadosCorretamente
Bubble Sort,Paralelo,8,1000,ORDENADA,6.5715,6.5715,6.5715,1.0,1.0,true
Bubble Sort,Serial,1,1000,ORDENADA,0.0139,0.0139,0.0139,1.0,1.0,true
Merge Sort,Serial,1,1000,ORDENADA,0.2674,0.2674,0.2674,1.0,1.0,true
Merge Sort,Paralelo,8,1000,ORDENADA,1.4303,1.4303,1.4303,0.186953785919038,0.02336922323987975,true
Quick Sort,Paralelo,8,1000,ORDENADA,3.6909,3.6909,3.6909,1.0,1.0,true
Quick Sort,Serial,1,1000,ORDENADA,3.3996,3.3996,3.3996,1.0,1.0,true
Insertion Sort,Serial,1,1000,ALEATORIA,1.0475,1.0475,1.0475,1.0,1.0,true
Insertion Sort,Paralelo,8,1000,ALEATORIA,7.3604,7.3604,7.3604,0.14231563501983588,0.017789454377479485,true
Bubble Sort,Serial,1,1000,ALEATORIA,2.6357,2.6357,2.6357,1.0,1.0,true
Bubble Sort,Paralelo,8,1000,ALEATORIA,6.7954,6.7954,6.7954,0.38786532065809226,0.04848316508226153,true
Bubble Sort,Serial,1,1000,ALEATORIA,3.386,3.386,3.386,1.0,1.0,true
Bubble Sort,Paralelo,8,1000,ALEATORIA,7.7163,7.7163,7.7163,0.4388113474074362,0.05485141842592953,true
Quick Sort,Serial,1,1000,ALEATORIA,0.4274,0.4274,0.4274,1.0,1.0,true
Quick Sort,Paralelo,8,1000,ALEATORIA,1.2622,1.2622,1.2622,0.33861511646331804,0.042326889557914756,true
Insertion Sort,Serial,1,1000,ALEATORIA,0.8848,0.8848,0.8848,1.0,1.0,true
"Bubble Sort","Serial",1,1000,"ALEATORIA",1.5764599999999998,0.5356,2.832,1.0,1.0,true
"Bubble Sort","Paralelo",8,1000,"ALEATORIA",1.75896,0.9383,3.6491,0.8962455087096919,0.11203068858871149,true
