algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,amostra,tempoMs,score,ordenadoCorretamente
"Bubble Sort","Serial",1,1000,"ALEATORIA",1,3.2651,5727.724669987003,true
"Bubble Sort","Serial",1,1000,"ALEATORIA",2,1.303,6644.388132671624,true
"Bubble Sort","Serial",1,1000,"ALEATORIA",3,1.4888,6511.272545472274,true
"Bubble Sort","Serial",1,1000,"ALEATORIA",4,1.7222,6365.873454416259,true
"Bubble Sort","Serial",1,1000,"ALEATORIA",5,0.6136,7396.78071973572,true
"Insertion Sort","Serial",1,1000,"ALEATORIA",1,1.1394,6778.3922222944475,true
"Insertion Sort","Serial",1,1000,"ALEATORIA",2,0.4813,7639.500965867516,true
"Insertion Sort","Serial",1,1000,"ALEATORIA",3,0.4305,7750.99364145795,true
"Insertion Sort","Serial",1,1000,"ALEATORIA",4,0.4486,7709.827435287269,true
"Insertion Sort","Serial",1,1000,"ALEATORIA",5,0.4634,7677.383238629376,true
"Quick Sort","Serial",1,1000,"ALEATORIA",1,0.3492,7960.214873042697,true
"Quick Sort","Serial",1,1000,"ALEATORIA",2,0.1264,8976.18546826371,true
"Quick Sort","Serial",1,1000,"ALEATORIA",3,0.1375,8892.02413140539,true
"Quick Sort","Serial",1,1000,"ALEATORIA",4,0.0707,9557.13568256262,true
"Quick Sort","Serial",1,1000,"ALEATORIA",5,0.0841,9383.588087449165,true
"Merge Sort","Serial",1,1000,"ALEATORIA",1,0.3516,7953.367930356457,true
"Merge Sort","Serial",1,1000,"ALEATORIA",2,0.0965,9246.064044963508,true
"Merge Sort","Serial",1,1000,"ALEATORIA",3,0.094,9272.309771276547,true
"Merge Sort","Serial",1,1000,"ALEATORIA",4,0.0993,9217.46428198323,true
"Merge Sort","Serial",1,1000,"ALEATORIA",5,0.0892,9324.718714400227,true
"Bubble Sort","Paralelo",1,1000,"ALEATORIA",1,2.0077,6212.771177968627,true
"Bubble Sort","Paralelo",1,1000,"ALEATORIA",2,0.594,7429.22506225346,true
"Bubble Sort","Paralelo",1,1000,"ALEATORIA",3,0.5837,7446.706935467944,true
"Bubble Sort","Paralelo",1,1000,"ALEATORIA",4,0.5648,7479.603512345753,true
"Bubble Sort","Paralelo",1,1000,"ALEATORIA",5,0.6004,7418.514678036999,true
"Bubble Sort","Paralelo",2,1000,"ALEATORIA",1,2.7326,5905.230615296133,true
"Bubble Sort","Paralelo",2,1000,"ALEATORIA",2,0.8843,7031.598095619691,true
"Bubble Sort","Paralelo",2,1000,"ALEATORIA",3,1.4076,6567.275762776627,true
"Bubble Sort","Paralelo",2,1000,"ALEATORIA",4,1.0243,6884.769602284494,true
